sysName,serviceName,releases,codeSize,entityNum,entityAttributeNum,aveEntityAttribute,controllerNum,interfaceNum,abstractClassNum,serviceClassNum,dtoObjectNum,APINum,APIVersionNum,maxParaNum,serviceImplCallNum,maxServiceCall,serviceCallPer,maxServiceCalled,serviceCalledPer,chatty
AphroraLetters-Springcloud,article,newest,2647,10,71,7.1,5,18,0,9,0,40,0,2,44,0,0,0,0,0
AphroraLetters-Springcloud,library,newest,1046,3,24,8,1,6,0,3,0,11,0,1,9,0,0,0,0,0
apollo,apollo-portal,v2.2.0,14028,45,173,3.844444444,32,32,2,6,2,110,1,8,0,0,0,0,0,0
apollo,apollo-portal,tag-oidc-debug-log,13519,43,158,3.674418605,32,32,2,6,2,109,1,8,29,0,0,0,0,0
apollo,apollo-portal,v2.1.0,13484,43,158,3.674418605,32,32,2,6,2,109,1,8,0,0,0,0,0,0
apollo,apollo-portal,v2.0.0,12954,42,150,3.571428571,32,32,2,6,2,101,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.9.0,12875,41,145,3.536585366,31,30,2,1,2,100,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.8.1,12366,41,143,3.487804878,31,26,2,0,0,99,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.8.2,12366,41,143,3.487804878,31,26,2,0,0,99,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.8.0,12365,41,143,3.487804878,31,26,2,0,0,99,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.7.1,11870,41,143,3.487804878,31,26,2,0,0,99,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.7.2,11870,41,143,3.487804878,31,26,2,0,0,99,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.7.0,11806,41,143,3.487804878,31,26,2,0,0,99,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.6.2,11276,40,135,3.375,30,26,2,0,0,96,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.6.0,11262,40,135,3.375,30,26,2,0,0,96,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.6.1,11262,40,135,3.375,30,26,2,0,0,96,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.5.1,10751,40,135,3.375,28,25,2,0,0,91,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.5.0,10750,40,135,3.375,28,25,2,0,0,91,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.4.0,10353,40,135,3.375,27,25,2,0,0,83,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.3.0,10272,40,135,3.375,27,25,2,0,0,82,1,8,0,0,0,0,0,0
apollo,apollo-portal,v1.2.0,9603,40,135,3.375,26,25,2,0,0,82,1,8,125,0,0,0,0,0
apollo,apollo-portal,v1.1.0,9558,41,140,3.414634146,26,25,2,0,0,81,1,8,122,0,0,0,0,0
apollo,apollo-portal,v1.1.1,9558,41,140,3.414634146,26,25,2,0,0,81,1,8,122,0,0,0,0,0
apollo,apollo-portal,v1.1.2,9558,41,140,3.414634146,26,25,2,0,0,81,1,8,122,0,0,0,0,0
apollo,apollo-portal,v1.0.0,8885,37,125,3.378378378,24,25,2,0,6,73,1,7,106,0,0,0,0,0
